"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"319",Jul 2017,"GUYANA",353,2567,6,1,2017,7,353
"320",Jul 2017,"INDONESIA",5976,57083,10,1,2017,7,5976
"321",Jul 2017,"THAILAND",2376,4816,42,1,2017,7,2376
"322",Jul 2017,"VIETNAM",15835728,53012814,21,1,2017,7,15835728
"323",Aug 2017,"CHINA",617344,4114706,249,1,2017,8,617344
"324",Aug 2017,"GUYANA",1231,8078,5,1,2017,8,1231
"325",Aug 2017,"INDONESIA",5224,42452,9,1,2017,8,5224
"326",Aug 2017,"VIETNAM",13773056,48471062,52,1,2017,8,13773056
"327",Sep 2017,"BURMA",4542,19717,NA,1,2017,9,4542
"328",Sep 2017,"CHINA",498486,3134620,176,1,2017,9,498486
"329",Sep 2017,"VIETNAM",3830764,12567089,104,1,2017,9,3830764
"330",Oct 2017,"CHINA",258433,1556670,270,1,2017,10,258433
"331",Oct 2017,"INDONESIA",855,5658,5,1,2017,10,855
"332",Oct 2017,"VIETNAM",4571949,16805482,53,1,2017,10,4571949
"333",Nov 2017,"CHINA",246525,1514398,175,1,2017,11,246525
"334",Nov 2017,"GUYANA",373,3374,12,1,2017,11,373
"335",Nov 2017,"THAILAND",227,2182,8,1,2017,11,227
"336",Nov 2017,"VIETNAM",7932576,30601800,60,1,2017,11,7932576
"337",Dec 2017,"CHINA",316924,1832718,177,1,2017,12,316924
"338",Dec 2017,"GUYANA",2369,17384,7,1,2017,12,2369
"339",Dec 2017,"VIETNAM",7162985,26457616,52,1,2017,12,7162985
"340",Jan 2018,"CHINA",695364,3896780,223,1,2018,1,695364
"341",Jan 2018,"GUYANA",1088,8250,25,1,2018,1,1088
"342",Jan 2018,"VIETNAM",6753109,24485611,36,1,2018,1,6753109
"343",Feb 2018,"CHINA",445008,2554113,214,1,2018,2,445008
"344",Feb 2018,"GUYANA",3653,19811,16,1,2018,2,3653
"345",Feb 2018,"THAILAND",3408,21225,36,1,2018,2,3408
"346",Feb 2018,"VIETNAM",5451102,20565204,55,1,2018,2,5451102
"347",Mar 2018,"CHINA",175738,1021728,264,1,2018,3,175738
"348",Mar 2018,"GUYANA",11978,45654,14,1,2018,3,11978
"349",Mar 2018,"SPAIN",366,2141,81,1,2018,3,366
"350",Mar 2018,"VIETNAM",5682839,21637302,32,1,2018,3,5682839
"351",Apr 2018,"CHINA",251275,1404009,250,1,2018,4,251275
"352",Apr 2018,"VIETNAM",7230420,28903846,20,1,2018,4,7230420
"353",May 2018,"CHINA",532980,2920799,222,1,2018,5,532980
